Pressure,Qual0.5,Qual1,Qual2,Qual5,Qual10,Qual20,Qual30,Qual50,Qual100,Qual200,Qual500,,,,,,,,,,,,,,,,,,,
1.18,0.058982598,0.117930407,0.235721739,0.588262918,1.173065303,2.332369784,3.478074867,5.729323084,11.13039474,21.02193261,44.56727153,,,,,,,,,,,,,,,,,,,
1.2,0.059982004,0.119928029,0.23971223,0.598203595,1.192828714,2.371429024,3.535970652,5.823546642,11.30795633,21.33721389,45.11883639,,,,,,,,,,,,,,,,,,,
1.22,0.060981399,0.12192561,0.243702562,0.608143277,1.212588172,2.410472643,3.593831709,5.917676022,11.48516315,21.65123657,45.66491309,,,,,,,,,,,,,,,,,,,
1.24,0.061980784,0.123923152,0.247692734,0.618081966,1.232343679,2.449500648,3.651658061,6.011711321,11.66201591,21.96400567,46.20555624,,,,,,,,,,,,,,,,,,,
1.26,0.062980159,0.125920653,0.251682747,0.628019661,1.252095235,2.488513045,3.709449727,6.105652631,11.83851532,22.27552619,46.7408199,,,,,,,,,,,,,,,,,,,
1.28,0.063979524,0.127918115,0.255672599,0.637956362,1.271842841,2.52750984,3.767206728,6.199500047,12.01466209,22.58580312,47.2707576,,,,,,,,,,,,,,,,,,,
1.3,0.06497888,0.129915537,0.259662293,0.64789207,1.291586498,2.566491039,3.824929085,6.293253662,12.19045691,22.89484142,47.79542232,,,,,,,,,,,,,,,,,,,
1.32,0.065978225,0.131912918,0.263651826,0.657826784,1.311326207,2.605456649,3.88261682,6.386913571,12.36590049,23.20264603,48.31486655,,,,,,,,,,,,,,,,,,,
1.34,0.06697756,0.13391026,0.267641201,0.667760504,1.331061968,2.644406676,3.940269952,6.480479866,12.54099354,23.50922189,48.82914222,,,,,,,,,,,,,,,,,,,
1.36,0.067976885,0.135907562,0.271630415,0.677693232,1.350793782,2.683341126,3.997888503,6.573952642,12.71573675,23.81457389,49.33830076,,,,,,,,,,,,,,,,,,,
1.38,0.0689762,0.137904824,0.27561947,0.687624966,1.370521651,2.722260005,4.055472493,6.667331992,12.89013083,24.11870692,49.84239309,,,,,,,,,,,,,,,,,,,
1.4,0.069975506,0.139902046,0.279608366,0.697555707,1.390245574,2.76116332,4.113021943,6.760618009,13.06417646,24.42162585,50.34146962,,,,,,,,,,,,,,,,,,,
1.42,0.070974801,0.141899228,0.283597102,0.707485455,1.409965553,2.800051076,4.170536873,6.853810787,13.23787435,24.72333553,50.83558025,,,,,,,,,,,,,,,,,,,
1.44,0.071974086,0.14389637,0.287585678,0.71741421,1.429681588,2.838923281,4.228017305,6.946910419,13.41122519,25.02384078,51.3247744,,,,,,,,,,,,,,,,,,,
1.46,0.072973361,0.145893472,0.291574095,0.727341972,1.44939368,2.87777994,4.28546326,7.039916997,13.58422968,25.3231464,51.80910099,,,,,,,,,,,,,,,,,,,
1.48,0.073972627,0.147890534,0.295562352,0.737268741,1.469101831,2.916621059,4.342874756,7.132830616,13.75688851,25.6212572,52.28860845,,,,,,,,,,,,,,,,,,,
1.5,0.074971882,0.149887556,0.29955045,0.747194518,1.48880604,2.955446645,4.400251817,7.225651367,13.92920236,25.91817793,52.76334473,,,,,,,,,,,,,,,,,,,
1.52,0.075971127,0.151884539,0.303538388,0.757119302,1.508506308,2.994256704,4.457594461,7.318379344,14.10117193,26.21391335,53.2333573,,,,,,,,,,,,,,,,,,,
1.54,0.076970363,0.153881481,0.307526167,0.767043094,1.528202637,3.033051242,4.51490271,7.411014639,14.2727979,26.5084682,53.69869317,,,,,,,,,,,,,,,,,,,
1.56,0.077969588,0.155878383,0.311513786,0.776965894,1.547895028,3.071830265,4.572176585,7.503557346,14.44408096,26.80184718,54.15939887,,,,,,,,,,,,,,,,,,,
1.58,0.078968803,0.157875246,0.315501245,0.786887701,1.56758348,3.11059378,4.629416105,7.596007555,14.6150218,27.09405498,54.61552047,,,,,,,,,,,,,,,,,,,
1.6,0.079968009,0.159872068,0.319488546,0.796808516,1.587267994,3.149341792,4.686621292,7.688365361,14.7856211,27.38509629,55.06710359,,,,,,,,,,,,,,,,,,,
1.62,0.080967204,0.161868851,0.323475686,0.806728339,1.606948573,3.188074308,4.743792166,7.780630856,14.95587955,27.67497576,55.51419338,,,,,,,,,,,,,,,,,,,
1.64,0.081966389,0.163865593,0.327462668,0.816647171,1.626625215,3.226791335,4.800928749,7.87280413,15.12579781,27.96369803,55.95683455,,,,,,,,,,,,,,,,,,,
1.66,0.082965565,0.165862296,0.331449489,0.82656501,1.646297923,3.265492877,4.858031059,7.964885278,15.29537658,28.25126771,56.39507137,,,,,,,,,,,,,,,,,,,
1.68,0.08396473,0.167858959,0.335436152,0.836481858,1.665966696,3.304178942,4.915099118,8.05687439,15.46461653,28.53768942,56.82894766,,,,,,,,,,,,,,,,,,,
1.7,0.084963885,0.169855582,0.339422655,0.846397714,1.685631537,3.342849536,4.972132947,8.14877156,15.63351834,28.82296772,57.25850681,,,,,,,,,,,,,,,,,,,
1.72,0.085963031,0.171852165,0.343408998,0.856312578,1.705292444,3.381504665,5.029132565,8.240576878,15.80208268,29.1071072,57.68379177,,,,,,,,,,,,,,,,,,,
1.74,0.086962166,0.173848708,0.347395182,0.866226451,1.72494942,3.420144335,5.086097995,8.332290437,15.97031023,29.39011238,58.10484508,,,,,,,,,,,,,,,,,,,
1.76,0.087961291,0.175845211,0.351381206,0.876139333,1.744602465,3.458768551,5.143029255,8.423912328,16.13820167,29.6719878,58.52170883,,,,,,,,,,,,,,,,,,,
1.78,0.088960407,0.177841674,0.355367071,0.886051223,1.764251579,3.497377322,5.199926366,8.515442643,16.30575765,29.95273798,58.93442472,,,,,,,,,,,,,,,,,,,
1.8,0.089959512,0.179838097,0.359352777,0.895962123,1.783896764,3.535970652,5.25678935,8.606881473,16.47297886,30.23236739,59.34303403,,,,,,,,,,,,,,,,,,,
1.82,0.090958608,0.18183448,0.363338323,0.905872031,1.803538021,3.574548547,5.313618226,8.69822891,16.63986596,30.51088053,59.7475776,,,,,,,,,,,,,,,,,,,
1.84,0.091957693,0.183830824,0.36732371,0.915780948,1.823175349,3.613111015,5.370413015,8.789485045,16.80641962,30.78828183,60.14809589,,,,,,,,,,,,,,,,,,,
1.86,0.092956768,0.185827127,0.371308937,0.925688875,1.842808751,3.651658061,5.427173737,8.88064997,16.9726405,31.06457575,60.54462896,,,,,,,,,,,,,,,,,,,
1.88,0.093955834,0.187823391,0.375294005,0.935595811,1.862438226,3.690189691,5.483900413,8.971723776,17.13852928,31.3397667,60.93721646,,,,,,,,,,,,,,,,,,,
1.9,0.094954889,0.189819614,0.379278914,0.945501756,1.882063776,3.728705911,5.540593063,9.062706553,17.30408661,31.61385908,61.32589765,,,,,,,,,,,,,,,,,,,
